channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
78,kabel eins HD Austria,TV,Austriasat,HD,0x14B6,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0407,0x01,Sat,11671,H,22000,auto,DVB-S2,FTA
79,RTL HD Austria,TV,Austriasat,HD,0x2E87,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0411,0x01,Sat,11082,H,22000,auto,DVB-S2,FTA
80,RTL II HD Austria,TV,Austriasat,HD,0x2EA5,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0411,0x01,Sat,11082,H,22000,auto,DVB-S2,FTA
81,VOX HD Austria,TV,Austriasat,HD,0x2E91,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0411,0x01,Sat,11082,H,22000,auto,DVB-S2,FTA
82,TELE 5 HD Austria,TV,Austriasat,HD,0x1519,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
83,NICK/CC HD Austria,TV,Austriasat,HD,0x5273,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
84,N24 HD Austria,TV,Austriasat,HD,0x5274,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
85,DMAX HD Austria,TV,Austriasat,HD,0x152E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
86,Deluxe Music HD Austria,TV,Austriasat,HD,0x1589,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x157C,0x01,Sat,10803,H,22000,auto,DVB-S2,FTA
87,SAT.1 emotions,TV,,SD,0x125D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F7,0x01,Sat,11420,H,22000,auto,DVB-S,FTA
88,kabel eins classics,TV,,SD,0x4462,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
89,AXN Action,TV,,SD,0x0025,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x000F,0x85,Sat,10920,H,22000,auto,DVB-S,FTA
90,RTL Living,TV,,SD,0x2EFE,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
91,Planet,TV,,SD,0x3251,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045F,0x35,Sat,12722,H,22000,auto,DVB-S2,FTA
92,sportdigital,TV,,SD,0x325F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045F,0x35,Sat,12722,H,22000,auto,DVB-S2,FTA
93,Animax,TV,,SD,0x0FDA,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0451,0x35,Sat,12515,H,22000,auto,DVB-S,FTA
94,VH1,TV,,SD,0x6FF0,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x042A,0x01,Sat,11538,V,22000,auto,DVB-S,FTA
95,MTV Music 24,TV,,SD,0x6FFF,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0436,0x01,Sat,11973,V,27500,auto,DVB-S,FTA
96,MTV Hits,TV,,SD,0x6FEE,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x042A,0x01,Sat,11739,V,27500,auto,DVB-S,FTA
97,MTV Dance,TV,,SD,0x6FEF,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x042A,0x01,Sat,11739,V,27500,auto,DVB-S,FTA
98,MTV ROCKS,TV,,SD,0x6FF3,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x042A,0x01,Sat,11739,V,27500,auto,DVB-S,FTA
1,OE1,RADIO,ORF,SD,0x3341,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
2,OE1 DD,RADIO,ORF,SD,0x3342,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
3,OE2 W,RADIO,ORF,SD,0x3343,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
4,OE2 N,RADIO,ORF,SD,0x3344,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
5,OE2 B,RADIO,ORF,SD,0x3345,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
6,OE2 O,RADIO,ORF,SD,0x3346,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
7,OE2 S,RADIO,ORF,SD,0x3347,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
8,OE2 T,RADIO,ORF,SD,0x3348,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
9,OE2 V,RADIO,ORF,SD,0x3349,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
10,OE2 St,RADIO,ORF,SD,0x334A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
11,OE2 K,RADIO,ORF,SD,0x334B,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
12,OE3,RADIO,ORF,SD,0x334D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
13,FM4,RADIO,ORF,SD,0x334E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
14,U1 Tirol,RADIO,ORF,SD,0x3350,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
15,RADIO MARIA,RADIO,ORF,SD,0x3354,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
16,ANTENNE BAYERN,RADIO,,SD,0x00AA,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
17,ROCK ANTENNE,RADIO,,SD,0x00A0,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
18,sunshine live,RADIO,,SD,0x00A9,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
19,ERF Plus,RADIO,,SD,0x00A1,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
20,.,RADIO,,SD,0x00B0,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
21,Radio Horeb,RADIO,,SD,0x1C79,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0457,0x01,Sat,12603,H,22000,auto,DVB-S,FTA
22,Radio neue Hoffnung,RADIO,,SD,0x1C7C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0457,0x01,Sat,12603,H,22000,auto,DVB-S,FTA
23,RTL RADIO,RADIO,,SD,0x1EFB,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0457,0x01,Sat,12603,H,22000,auto,DVB-S,FTA
24,HOPE Channel Radio,RADIO,,SD,0x00AF,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
25,domradio,RADIO,,SD,0x00AB,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
26,egoFM,RADIO,,SD,0x00AC,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
27,Klassik Radio,RADIO,,SD,0x00AD,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
28,JAM FM,RADIO,,SD,0x00B1,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
29,.,RADIO,,SD,0x00AE,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
30,Bayern 1,RADIO,,SD,0x6EF0,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
31,Bayern 2,RADIO,,SD,0x6EF1,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
32,Bayern 3,RADIO,,SD,0x6EF2,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
33,BR-KLASSIK,RADIO,,SD,0x6EF3,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
34,B5 aktuell,RADIO,,SD,0x6EF4,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
35,BAYERN plus,RADIO,,SD,0x6EF5,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
36,PULS,RADIO,,SD,0x6EF6,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
37,B5 plus,RADIO,,SD,0x6EF8,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
38,hr1,RADIO,,SD,0x6F03,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
39,hr2,RADIO,,SD,0x6F04,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
40,hr3,RADIO,,SD,0x6F05,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
41,hr4,RADIO,,SD,0x6F06,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
42,YOU FM,RADIO,,SD,0x6F07,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
